"Date","Particulars","Voucher Type","Narration","Gross Total","Purchase"
"21-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu/krishnan/hindi","-3750.0","-3750.0"
"23-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","rajasthan grill /4""lorry hinges","-1062.0","-1062.0"
"23-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","SRI AKILANDESWARI STEELS","-2150.0","-2150.0"
"23-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-8451.2","-8451.2"
"23-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu/hindi","-2750.0","-2750.0"
"24-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","vibhor enterprises","-9800.0","-9800.0"
"24-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-7449.02","-7449.02"
"24-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu/hindi","-2750.0","-2750.0"
"25-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-5097.61","-5097.61"
"25-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu/jiththu","-2750.0","-2750.0"
"26-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-3094.96","-3094.96"
"26-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu/krishnan/jiththu","-2125.0","-2125.0"
"27-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","sri akilandeswari steels","-2350.0","-2350.0"
"27-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-2339.96","-2339.96"
"27-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu","-1375.0","-1375.0"
"28-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","lal babu","-1000.0","-1000.0"
"28-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","sleeve/tg","-180.0","-180.0"
"28-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-3654.96","-3654.96"
"30-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","pipe","-140.0","-140.0"
"30-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-2028.07","-2028.07"
"31-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-2913.75","-2913.75"
"31-12-2024","3110-Suntech Zone-Wet Scrubber-2 Nos-Madurai Fenner","Purchase","labour","-1065.57","-1065.57"
