"Date","Particulars","Voucher Type","Narration","Gross Total","Purchase"
"27-12-2024","3092-NK Solutions-Nava India","Purchase","calverite enterprises","-23010.0","-23010.0"
"27-12-2024","3092-NK Solutions-Nava India","Purchase","labour","-2632.51","-2632.51"
"27-12-2024","3092-NK Solutions-Nava India","Purchase","m sand","-6510.0","-6510.0"
"27-12-2024","3092-NK Solutions-Nava India","Purchase","bannari amman","-9300.0","-9300.0"
"27-12-2024","3092-NK Solutions-Nava India","Purchase","krishnan/jithuthu","-2125.0","-2125.0"
"27-12-2024","3092-NK Solutions-Nava India","Purchase","crane/tg","-4100.0","-4100.0"
"28-12-2024","3092-NK Solutions-Nava India","Purchase","viji masion","-2845.0","-2845.0"
"28-12-2024","3092-NK Solutions-Nava India","Purchase","sakthivel barbender","-7800.0","-7800.0"
"28-12-2024","3092-NK Solutions-Nava India","Purchase","pile thirunavukarasu","-176845.0","-176845.0"
"28-12-2024","3092-NK Solutions-Nava India","Purchase","krishnan/jithuthu","-2000.0","-2000.0"
"28-12-2024","3092-NK Solutions-Nava India","Purchase","auto rent/tape/tg","-390.0","-390.0"
"28-12-2024","3092-NK Solutions-Nava India","Purchase","labour","-1620.0","-1620.0"
"30-12-2024","3092-NK Solutions-Nava India","Purchase","labour","-2805.0","-2805.0"
"31-12-2024","3092-NK Solutions-Nava India","Purchase","labour","-2550.0","-2550.0"
"02-01-2025","3092-NK Solutions-Nava India","Purchase","bannari amman sand","-20850.0","-20850.0"
"02-01-2025","3092-NK Solutions-Nava India","Purchase","calverite enterprises","-12744.0","-12744.0"
"02-01-2025","3092-NK Solutions-Nava India","Purchase","CALVERITE ENTERPRISES","-16567.2","-16567.2"
"02-01-2025","3092-NK Solutions-Nava India","Purchase","pooja kannan traders","-26511.0","-26511.0"
"02-01-2025","3092-NK Solutions-Nava India","Purchase","auto rent/tg","-340.0","-340.0"
"02-01-2025","3092-NK Solutions-Nava India","Purchase","labour","-3425.27","-3425.27"
"03-01-2025","3092-NK Solutions-Nava India","Purchase","bannari amman","-4950.0","-4950.0"
"04-01-2025","3092-NK Solutions-Nava India","Purchase","gravel/bannari amman","-24000.0","-24000.0"
"04-01-2025","3092-NK Solutions-Nava India","Purchase","viji masion","-5650.0","-5650.0"
"04-01-2025","3092-NK Solutions-Nava India","Purchase","labour","-2495.0","-2495.0"
"06-01-2025","3092-NK Solutions-Nava India","Purchase","labour","-1955.94","-1955.94"
"07-01-2025","3092-NK Solutions-Nava India","Purchase","crane/1281","-3300.0","-3300.0"
"07-01-2025","3092-NK Solutions-Nava India","Purchase","pooja kannan traders","-25848.0","-25848.0"
"07-01-2025","3092-NK Solutions-Nava India","Purchase","bannari amman","-15000.0","-15000.0"
"07-01-2025","3092-NK Solutions-Nava India","Purchase","crane amt/auto rent","-3440.0","-3440.0"
"07-01-2025","3092-NK Solutions-Nava India","Purchase","labour","-2751.25","-2751.25"
"08-01-2025","3092-NK Solutions-Nava India","Purchase","bannari amman","-17010.0","-17010.0"
"08-01-2025","3092-NK Solutions-Nava India","Purchase","labour","-3426.56","-3426.56"
"09-01-2025","3092-NK Solutions-Nava India","Purchase","premier trading","-1600.0","-1600.0"
"09-01-2025","3092-NK Solutions-Nava India","Purchase","labour","-2579.69","-2579.69"
"10-01-2025","3092-NK Solutions-Nava India","Purchase","meenakshi metal","-1020.7","-1020.7"
"10-01-2025","3092-NK Solutions-Nava India","Purchase","labour","-2363.75","-2363.75"
"11-01-2025","3092-NK Solutions-Nava India","Purchase","viji masion","-800.0","-800.0"
"11-01-2025","3092-NK Solutions-Nava India","Purchase","viji masion","-18000.0","-18000.0"
"11-01-2025","3092-NK Solutions-Nava India","Purchase","labour","-2452.92","-2452.92"
"12-01-2025","3092-NK Solutions-Nava India","Purchase","calverite enterprises","-23226.0","-23226.0"
"13-01-2025","3092-NK Solutions-Nava India","Purchase","labour","-1994.96","-1994.96"
"13-01-2025","3092-NK Solutions-Nava India","Purchase","earth movers/anu","-6530.0","-6530.0"
"13-01-2025","3092-NK Solutions-Nava India","Purchase","bannari amman","-31035.0","-31035.0"
"23-01-2025","3092-NK Solutions-Nava India","Purchase","bannari amman","-15000.0","-15000.0"
